# Data format string: '(4E12.4)'
# Data printout from CCMC-simulation: version PD-2.0
# Data type:  Weimer_05  ionosphere
# Run name:   N/A  Inputs: Vx:  400.00 By:  -0.00 Bz:  -5.00 N:   8.00 Tilt:   0.00
# Model coordinate system: SM
# Missing data:          NaN
# Date, time:            0           0           0  **:59:00
# Output data: field with 162x181=29322 elements
# LAT         MLT         R           PHI       
# deg         hours       R_E         kV        
 -5.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.4500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.5500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.6500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.7500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.8500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -5.9500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.0500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.1500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.2500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.3500E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4000E+01  1.2000E+01  1.0170E+00  0.0000E+00
 -6.4500E+01  1.2000E+01  1.0170E+00 -1.5978E-02
 -6.5000E+01  1.2000E+01  1.0170E+00 -8.0097E-02
 -6.5500E+01  1.2000E+01  1.0170E+00 -1.8113E-01
 -6.6000E+01  1.2000E+01  1.0170E+00 -3.4728E-01
 -6.6500E+01  1.2000E+01  1.0170E+00 -6.0021E-01
 -6.7000E+01  1.2000E+01  1.0170E+00 -9.5897E-01
 -6.7500E+01  1.2000E+01  1.0170E+00 -1.4348E+00
 -6.8000E+01  1.2000E+01  1.0170E+00 -2.0325E+00
 -6.8500E+01  1.2000E+01  1.0170E+00 -2.7496E+00
 -6.9000E+01  1.2000E+01  1.0170E+00 -3.5754E+00
 -6.9500E+01  1.2000E+01  1.0170E+00 -4.4942E+00
 -7.0000E+01  1.2000E+01  1.0170E+00 -5.4826E+00
 -7.0500E+01  1.2000E+01  1.0170E+00 -6.5155E+00
 -7.1000E+01  1.2000E+01  1.0170E+00 -7.5629E+00
 -7.1500E+01  1.2000E+01  1.0170E+00 -8.5965E+00
 -7.2000E+01  1.2000E+01  1.0170E+00 -9.5873E+00
 -7.2500E+01  1.2000E+01  1.0170E+00 -1.0511E+01
 -7.3000E+01  1.2000E+01  1.0170E+00 -1.1345E+01
 -7.3500E+01  1.2000E+01  1.0170E+00 -1.2076E+01
 -7.4000E+01  1.2000E+01  1.0170E+00 -1.2694E+01
 -7.4500E+01  1.2000E+01  1.0170E+00 -1.3195E+01
 -7.5000E+01  1.2000E+01  1.0170E+00 -1.3584E+01
 -7.5500E+01  1.2000E+01  1.0170E+00 -1.3869E+01
 -7.6000E+01  1.2000E+01  1.0170E+00 -1.4064E+01
 -7.6500E+01  1.2000E+01  1.0170E+00 -1.4186E+01
 -7.7000E+01  1.2000E+01  1.0170E+00 -1.4254E+01
 -7.7500E+01  1.2000E+01  1.0170E+00 -1.4288E+01
 -7.8000E+01  1.2000E+01  1.0170E+00 -1.4307E+01
 -7.8500E+01  1.2000E+01  1.0170E+00 -1.4329E+01
 -7.9000E+01  1.2000E+01  1.0170E+00 -1.4366E+01
 -7.9500E+01  1.2000E+01  1.0170E+00 -1.4429E+01
 -8.0000E+01  1.2000E+01  1.0170E+00 -1.4526E+01
 -8.0500E+01  1.2000E+01  1.0170E+00 -1.4656E+01
 -8.1000E+01  1.2000E+01  1.0170E+00 -1.4819E+01
 -8.1500E+01  1.2000E+01  1.0170E+00 -1.5010E+01
 -8.2000E+01  1.2000E+01  1.0170E+00 -1.5220E+01
 -8.2500E+01  1.2000E+01  1.0170E+00 -1.5440E+01
 -8.3000E+01  1.2000E+01  1.0170E+00 -1.5660E+01
 -8.3500E+01  1.2000E+01  1.0170E+00 -1.5870E+01
 -8.4000E+01  1.2000E+01  1.0170E+00 -1.6059E+01
 -8.4500E+01  1.2000E+01  1.0170E+00 -1.6220E+01
 -8.5000E+01  1.2000E+01  1.0170E+00 -1.6347E+01
 -8.5500E+01  1.2000E+01  1.0170E+00 -1.6437E+01
 -8.6000E+01  1.2000E+01  1.0170E+00 -1.6486E+01
 -8.6500E+01  1.2000E+01  1.0170E+00 -1.6497E+01
 -8.7000E+01  1.2000E+01  1.0170E+00 -1.6469E+01
 -8.7500E+01  1.2000E+01  1.0170E+00 -1.6407E+01
 -8.8000E+01  1.2000E+01  1.0170E+00 -1.6313E+01
 -8.8500E+01  1.2000E+01  1.0170E+00 -1.6189E+01
 -8.9000E+01  1.2000E+01  1.0170E+00 -1.6039E+01
